Timestamp,F1.1 (uL/min),F1.2 (uL/min),F2.1 (uL/min),F2.2 (uL/min),G1 (bar),G3.1 (bar),G3.2 (bar),P1
10:58:44,-0.3,-0.2,0.3,0.6,3.457,3.939,3.829,0
10:58:45,-0.2,0.6,"2,189",157.9,4.067,3.948,3.774,0
10:58:46,-0.3,-0.2,"3,250",45.2,4.099,3.995,3.808,0
10:58:47,-0.3,-0.2,"3,250",43.8,4.178,3.983,3.82,0
10:58:48,-0.3,-0.2,"3,250",14.5,4.143,3.951,3.756,0
10:58:49,-0.3,-0.2,"3,250",3.1,4.12,3.997,3.721,0
10:58:50,-0.3,-0.2,"3,250",3.5,4.189,3.986,3.852,0
10:58:51,-0.3,-0.2,"3,250",0,4.108,3.983,3.785,0
10:58:52,-0.3,-0.2,"3,250",-1.2,4.157,3.925,3.846,0
10:58:53,-0.3,-0.2,"3,250",-3.1,4.125,4.027,3.826,0
10:58:54,-0.3,-0.2,"3,250",-2.8,4.152,4.009,3.794,0
10:58:55,-0.3,-0.2,"3,250",-3.1,4.128,3.942,3.832,0
10:58:56,-0.3,-0.2,"3,250",-2.9,4.149,3.928,3.849,0
10:58:57,-0.3,-0.2,"3,250",-4,4.239,3.899,3.713,0
10:58:58,-0.3,-0.2,"3,250",-5.8,4.242,3.954,3.762,0
10:58:59,-0.4,-0.2,"3,250",1.8,4.189,3.951,3.797,0
10:59:00,-0.4,-0.2,"3,250",2,4.274,3.91,3.762,0
10:59:01,-0.4,-0.2,"3,250",2.5,4.21,3.913,3.718,0
10:59:02,-0.3,-0.2,"3,250",1.9,4.137,3.957,3.791,0
10:59:03,-0.3,-0.2,"3,250",1,4.216,3.98,3.814,0
10:59:04,-0.3,-0.2,"3,250",1.1,4.262,3.974,3.8,0
10:59:05,-0.3,-0.2,"3,250",0,4.291,3.939,3.8,0
10:59:06,-0.3,-0.2,"3,250",-0.4,4.294,3.986,3.759,0
10:59:07,-0.3,-0.2,"3,250",2.9,4.326,3.948,3.855,0
10:59:08,-0.3,-0.2,"3,250",2.1,4.314,3.919,3.779,0
10:59:09,-0.3,-0.1,"3,250",4,4.285,4.003,3.838,0
10:59:10,-0.3,-0.2,"3,250",2.2,4.291,3.971,3.756,0
10:59:11,-0.3,-0.2,"3,250",0.1,4.361,3.963,3.817,0
10:59:12,-0.3,-0.2,"3,250",7.7,4.343,3.928,3.762,0
10:59:13,-0.4,-0.2,"3,250",0.6,4.352,3.963,3.756,0
10:59:14,-0.4,-0.2,"3,250",2.7,4.329,3.995,3.762,0
10:59:15,-0.4,-0.2,"3,250",5.8,4.335,4.012,3.791,0
10:59:16,-0.4,-0.2,"3,250",3,4.402,3.995,3.779,0
10:59:17,-0.5,0.2,"2,140.70",-16.1,1.183,4.032,3.779,1
10:59:18,-0.4,-0.2,25.8,-4.1,1.262,4.015,3.817,1
10:59:19,-0.4,-0.1,12.4,-3,1.346,3.931,3.846,1
10:59:20,-0.4,-0.2,10,-2.4,1.192,3.986,3.774,1
10:59:21,-0.4,-0.2,7.1,-1.7,1.247,3.881,3.817,1
10:59:22,-0.4,-0.2,5.4,-1.5,1.119,4.024,3.715,1
10:59:23,-0.4,-0.2,4.3,-1.4,1.224,3.931,3.791,1
10:59:24,-0.4,-0.3,3.7,-1.4,1.212,3.893,3.774,1
10:59:25,-0.4,-0.3,3.4,-1.3,1.209,3.934,3.811,1
10:59:26,-0.4,-0.2,3,-1.3,1.212,4.032,3.838,1
10:59:27,-0.4,-0.2,2.5,-1.3,1.206,4.021,3.73,1
10:59:28,-0.4,-0.2,2.2,-1.3,1.32,4.027,3.8,1
10:59:29,-0.3,-0.2,1.9,-1.2,1.273,4.059,3.843,1
10:59:30,-0.3,-0.2,1.7,-1.2,1.311,3.925,3.771,1
10:59:31,-0.3,-0.2,1.5,-1.2,1.297,3.974,3.843,1
10:59:32,-0.3,-0.2,1.4,-1.2,1.227,3.971,3.878,1
10:59:33,-0.3,-0.2,1.3,-1.2,1.218,3.936,3.814,1
10:59:34,-0.3,-0.2,1.1,-1.2,1.241,3.936,3.774,1
10:59:35,-0.4,-0.2,1.2,-1.2,1.23,4.006,3.788,1
10:59:36,-0.4,-0.2,1.2,-1.2,1.169,3.983,3.774,1
10:59:37,-0.3,-0.2,1.1,-1.2,1.116,3.968,3.817,1
10:59:38,-0.4,-0.2,1.3,-1.3,1.212,3.948,3.826,1
10:59:39,-0.4,-0.6,1.3,-1.2,1.311,3.983,3.855,1
10:59:40,-0.5,0,1.3,-1.2,1.224,4.006,3.701,1
10:59:41,-0.7,0.1,1.2,-1.1,1.189,4.018,3.768,1
10:59:42,-0.6,0.2,1.2,-1.1,1.27,3.992,3.884,1
10:59:43,-0.5,-0.3,1.1,-1.2,1.227,4.012,3.774,1
10:59:44,-0.3,-0.2,0.9,-1.2,1.279,3.945,3.788,1
10:59:45,-0.3,-0.2,0.8,-1.2,1.273,4.003,3.788,1
10:59:46,-0.3,-0.2,0.8,-1.2,1.221,3.916,3.84,1
10:59:47,-0.4,-0.2,0.8,-1.2,1.25,3.849,3.806,1
10:59:48,-0.4,-0.2,0.8,-1.2,1.198,3.875,3.835,1
10:59:49,-0.4,-0.2,0.8,-1.2,0.93,3.945,3.811,0.6
10:59:50,-78.3,-150.5,483.4,"2,322.50",2.314,3.995,3.942,0.6
10:59:51,1.1,90.9,23.4,"3,246.40",3.64,3.992,3.823,0.6
10:59:52,5.8,89.7,-14,"3,249.20",3.8,3.983,3.899,0.6
10:59:53,4.7,78.8,-22.5,"3,249.90",3.736,3.934,3.899,0.6
10:59:54,4.4,68.3,-23.8,"3,250",3.75,3.881,3.84,0.6
10:59:55,3.8,67.9,-30.8,"3,250",3.742,3.919,3.779,0.592
10:59:56,3.2,67.9,-33.1,"3,250",3.878,3.881,3.823,0.588
10:59:57,3.1,67.1,-38.3,"3,250",4.061,3.977,3.87,0.585
10:59:58,3,66.5,-42.2,"3,250",4.204,3.957,3.835,0.581
10:59:59,3,66.1,-45.8,"3,250",4.125,4.099,3.59,0.579
11:00:00,3.3,66.3,-47.8,"3,250",4.247,3.838,3.811,0.576
11:00:01,2.9,66,-51.1,"3,250",4.396,3.96,3.835,0.574
11:00:02,3,65.4,-54.3,"3,249.80",4.515,3.913,3.771,0.572
11:00:03,2.7,64.6,-58.2,"3,249.70",4.669,3.896,3.727,0.572
11:00:04,2.4,62.5,-60.8,"3,249.90",4.765,3.983,3.765,0.57
11:00:05,2.5,62.9,-62.6,"3,250",4.701,3.977,3.643,0.568
11:00:06,2.4,61.6,-66.3,"3,250",4.969,3.893,3.631,0.566
11:00:07,2.3,60.4,-69.5,"3,250",4.887,3.91,3.631,0.564
11:00:08,2,59.6,-73.4,"3,249.90",4.919,3.87,3.686,0.564
11:00:09,2.1,59,-77.8,"3,250",5.152,3.884,3.663,0.56
11:00:10,2,58.9,-80.2,"3,249.80",5.364,4.029,3.59,0.562
11:00:11,1.9,58.2,-84.7,"3,250",5.027,3.91,3.55,0.557
11:00:12,1.8,57.7,-89.7,"3,250",5.32,3.907,3.652,0.557
11:00:13,1.7,55.4,-92.4,"3,250",5.408,3.826,3.579,0.557
11:00:14,1.7,54.1,-92.8,"3,250",5.422,3.855,3.59,0.557
11:00:15,1.6,53.2,-97.2,"3,250",5.419,3.942,3.518,0.555
11:00:16,1.4,51.1,-100.6,"3,250",5.396,4.053,3.558,0.554
11:00:17,1.5,50.3,-105.2,"3,250",5.405,4.003,3.404,0.555
11:00:18,1.5,50.7,-113.3,"3,250",5.376,4.073,3.541,0.552
11:00:19,1.4,50.5,-116,"3,250",5.541,3.995,3.628,0.553
11:00:20,1.4,49.1,-121,"3,250",5.585,3.904,3.419,0.552
11:00:21,1.4,47.3,-125.2,"3,250",5.591,3.797,3.631,0.55
11:00:22,1.4,46.4,-131.4,"3,250",5.576,3.884,3.553,0.55
11:00:23,1.4,46,-134.9,"3,250",5.41,3.899,3.404,0.55
11:00:24,1.1,44.4,-141.1,"3,250",5.614,3.939,3.55,0.549
11:00:25,1.2,43.4,-148,"3,250",5.585,3.913,3.526,0.55
11:00:26,1.2,42.4,-154.5,"3,250",5.809,3.965,3.436,0.547
11:00:27,6.7,47.9,-161.9,"3,250",5.492,4.064,3.433,0.548
11:00:28,6.3,"1,849.40",-164.9,"3,250",4.838,3.971,3.698,0.535
11:00:29,-0.9,"3,250",-173.2,"3,250",5.262,4.027,3.683,0.538
11:00:30,-1.3,"3,250",-177.6,"3,250",5.361,4.024,3.582,0.538
11:00:31,-1,"3,250",-186,"3,250",5.672,3.945,3.695,0.54
11:00:32,-0.8,"3,250",-190.2,"3,250",5.378,3.82,3.733,0.538
11:00:33,-0.9,"3,250",-198.6,"3,250",5.416,3.936,3.544,0.533
11:00:34,-1,"3,250",-198.6,"3,250",5.498,4.056,3.497,0.533
11:00:35,-1.4,"3,250",-209.8,"3,250",5.567,3.899,3.817,0.532
11:00:36,-1.2,"3,250",-211.6,"3,250",5.803,3.817,3.916,0.535
11:00:37,-1.2,"3,250",-211.6,"3,250",5.803,3.817,3.916,0.534
11:00:38,-0.9,"3,250",-213.3,"3,250",5.742,3.867,3.765,0.533
11:00:39,-0.9,"3,250",-214.5,"3,250",5.608,4.012,3.774,0.529
11:00:40,-0.9,"3,250",-214.5,"3,250",5.608,4.012,3.774,0.529
11:00:41,1.5,"3,250",-205,"3,250",5.905,4.029,3.57,0.532
11:00:42,1.9,"3,250",-201.9,"3,250",5.367,3.84,3.936,0.524
11:00:43,4,"3,250",-199.8,"3,250",5.852,3.715,3.983,0.529
11:00:44,"1,484.30","3,250",-188.7,"3,250",5.873,3.98,3.951,0.529
11:00:45,"1,750","3,250",-178.5,"3,250",5.605,3.878,3.864,0.525
11:00:46,"2,323.70","3,250",-170.3,"3,250",5.841,4.018,3.922,0.527
11:00:47,"1,899.30","3,250",-159.5,"3,250",5.841,3.928,4.056,0.526
11:00:48,"3,017.80","3,250",-137.7,"3,250",5.826,3.948,3.797,0.526
11:00:49,"3,043.80","3,250",-137.7,"3,250",5.887,3.954,3.707,0.526
11:00:50,"3,043.80","3,250",-137.7,"3,250",5.937,3.872,3.82,0.525
11:00:51,"3,250",2.7,-84.2,"3,227.30",6.544,3.968,3.564,0.535
11:00:52,"2,159.50",768.4,-63,"2,892.40",5.21,3.762,4.105,0.527
11:00:53,"3,250","3,250",-53.3,"2,539.40",5.489,3.794,4.111,0.52
11:00:54,"3,250","3,250",-47.4,"2,275.60",5.881,3.861,4.294,0.523
11:00:55,"3,250","3,250",-45.9,"2,195.60",5.582,4.227,3.919,0.519
11:00:56,"3,250","3,250",-43.4,"2,076.80",5.579,4.216,4.105,0.517
11:00:57,"3,250","3,250",-41.8,"2,021.20",5.678,3.968,4.201,0.518
11:00:58,"3,250","3,250",-40.8,"1,953.10",5.582,4.111,4.137,0.515
11:00:59,"3,250","3,250",-39.7,"1,911.60",5.687,3.939,4.282,0.516
11:01:00,"3,250","3,250",-39.4,"1,884.20",5.652,4.213,4.16,0.514
11:01:01,"3,250","3,250",-38.9,"1,865",5.809,4.21,4.399,0.516
11:01:02,"3,250","3,250",-38.4,"1,831.60",5.803,4.309,4.262,0.515
11:01:03,"3,250","3,250",-38.4,"1,828.40",5.739,4.378,4.108,0.514
11:01:04,"3,250","3,250",-38.4,"1,828.40",5.701,4.343,4.125,0.513
11:01:05,"3,250","3,250",-38.8,"1,830.70",5.762,4.111,4.346,0.513
11:01:06,"3,250","3,250",-39.2,"1,844.40",5.751,4.134,4.224,0.512
11:01:07,"3,250","3,250",-38.9,"1,842.20",6.108,4.37,4.399,0.516
11:01:08,"3,250","3,250",-38.5,"1,826",5.602,4.355,4.099,0.509
11:01:09,"3,250","3,250",-39.6,"1,848.70",5.864,4.413,4.326,0.511
11:01:10,"3,250","3,250",-39.5,"1,837",5.922,4.367,4.285,0.512
11:01:11,"3,250","3,250",-39,"1,817.90",5.902,4.265,4.314,0.511
11:01:12,"3,250","3,250",-37.6,"1,772.60",5.553,4.541,4.186,0.511
11:01:13,"3,250","3,250",-38.1,"1,788.40",5.983,4.524,4.471,0.511
11:01:14,"3,250","3,250",-40.6,"1,854.80",5.957,4.23,4.309,0.511
11:01:15,"3,250","3,250",-40.6,"1,854.80",5.957,4.23,4.309,0.507
11:01:16,"3,250","3,250",-38.6,"1,785.20",5.925,4.556,4.317,0.51
11:01:17,"3,250","3,250",-39.7,"1,803.90",5.963,4.37,4.204,0.511
11:01:18,"3,250","3,250",-39.9,"1,805.50",5.765,4.544,4.396,0.508
11:01:19,"3,250","3,250",-40.1,"1,807.30",6.05,4.416,4.559,0.511
11:01:20,"3,250","3,250",-40.7,"1,810.70",5.966,4.794,4.5,0.51
11:01:21,"3,250","3,250",-37.5,"1,723.30",6.065,4.718,4.518,0.511
11:01:22,"3,250","3,250",-37.5,"1,723.30",5.998,4.695,4.518,0.51
11:01:23,"3,250","3,250",-37.4,"1,696.10",5.844,4.422,4.466,0.509
11:01:24,"3,250","3,250",-37.9,"1,706.40",5.887,4.535,4.471,0.509
11:01:25,"3,250","3,250",-38.2,"1,706.70",6.067,4.736,4.474,0.512
11:01:26,"3,250","3,250",-38.5,"1,711.10",5.977,4.861,4.483,0.51
11:01:27,"3,250","3,250",-38.3,"1,704",6.251,4.727,4.416,0.514
11:01:28,"3,250","3,250",-37.8,"1,676",6.097,4.8,4.454,0.513
11:01:29,"3,250","3,250",-37.8,"1,664.30",6.12,4.756,4.544,0.514
11:01:30,"3,250","3,250",-37.6,"1,653.50",6.105,4.791,4.46,0.514
11:01:31,"3,250","3,250",-37,"1,626.60",5.809,4.78,4.471,0.51
11:01:32,"3,250","3,250",-36.8,"1,613.90",6.088,4.704,4.521,0.514
11:01:33,"3,250","3,250",-36.6,"1,600.70",6.219,4.843,4.579,0.516
11:01:34,"3,250","3,250",-35.9,"1,574.30",5.972,4.937,4.431,0.513
11:01:35,"3,250","3,250",-36.9,"1,595.10",6.161,4.942,4.512,0.516
11:01:36,"3,250","3,250",-37,"1,594.70",6.318,4.98,4.593,0.519
11:01:37,"3,250","3,250",-35.8,"1,548.70",6.158,4.806,4.477,0.518
11:01:38,"3,250","3,250",-35.4,"1,531.40",5.983,4.98,4.46,0.52
11:01:39,"3,250","3,250",-36.6,"1,554.80",6.155,4.942,4.559,0.518
11:01:40,"3,250","3,250",-36.3,"1,537.40",6.486,4.867,4.649,0.524
11:01:41,"3,250","3,250",-34.7,"1,481.40",6.213,4.893,4.425,0.522
11:01:42,"3,250","3,250",-32.2,"1,397.50",6.027,5.021,4.378,0.52
11:01:43,"3,250","3,250",-34.2,"1,442.40",6.332,5.012,4.564,0.525
11:01:44,"3,250","3,250",-32.1,"1,367.20",6.204,4.919,4.442,0.524
11:01:45,"3,250","3,250",-27.6,"1,216.20",6.024,4.875,4.535,0.522
11:01:46,"3,250","3,250",-28.7,"1,240.80",6.12,5.108,4.506,0.523
11:01:47,"3,250","3,250",-30,"1,278",6.027,5.059,4.46,0.523
11:01:48,"3,250","3,250",-30.2,"1,283.30",6.065,4.791,4.588,0.523
11:01:49,"3,250","3,250",-30.2,"1,283.30",6.065,4.791,4.588,0.525
11:01:50,"3,250","3,250",-27.9,"1,199.70",6.361,5.059,4.53,0.528
11:01:51,"3,250","3,250",-27.9,"1,194.90",6.329,5.059,4.62,0.528
11:01:52,"3,250","3,250",-25.6,"1,113.60",6.364,4.986,4.623,0.529
11:01:53,"3,250","3,250",-26.4,"1,132.70",6.483,4.826,4.576,0.533
11:01:54,"3,250","3,250",-25.7,"1,105.20",5.89,5.175,4.483,0.525
11:01:55,"3,250","3,250",-23.6,"1,021.50",6.236,4.919,4.698,0.53
11:01:56,"3,250","3,250",-26.2,"1,093",6.425,5.152,4.681,0.533
11:01:57,"3,250","3,250",-21.8,959.6,6.047,5.251,4.436,0.532
11:01:58,"3,250","3,250",-26,"1,101.90",6.21,5.015,4.675,0.532
11:01:59,"3,250","3,250",-26.5,"1,099.30",6.376,5.082,4.64,0.537
11:02:00,"3,250","3,250",-22.2,929,6.265,5.079,4.413,0.535
11:02:01,"3,250","3,250",-16.4,739.5,6.254,5.056,4.695,0.536
11:02:02,"3,250","3,250",-15.3,674.3,6.271,5.024,4.576,0.537
11:02:03,"3,250","3,250",-14.5,652.5,6.254,5.056,4.652,0.539
11:02:04,"3,250","3,250",-15.6,686.4,6.361,5.195,4.567,0.54
11:02:05,"3,250","3,250",-15,651.4,6.166,5.111,4.495,0.538
11:02:06,"3,250","3,250",-15.2,671.3,6.248,5.076,4.404,0.54
11:02:07,"3,250","3,250",-15.2,673.8,6.248,5.076,4.404,0.54
11:02:08,"3,250","3,250",-17.3,751,6.32,5.134,4.739,0.542
11:02:09,"3,250","3,250",-16.4,710.6,6.318,5.03,4.666,0.544
11:02:10,"3,250","3,250",-11.7,518.3,6.349,4.899,4.742,0.545
11:02:11,"3,250","3,250",-8.6,384.3,6.248,5.146,4.556,0.544
11:02:12,"3,250","3,250",-12.3,554.8,6.233,5.099,4.716,0.544
11:02:13,"2,689.30","3,250",-9.2,401,6.201,5.175,4.623,0.545
11:02:14,"1,885.50","3,250",-11.3,499.2,6.309,4.966,4.666,0.547
11:02:15,"2,669.10","3,250",-10.2,438.7,6.163,4.963,4.614,0.545
11:02:16,"3,250","3,250",-9.3,401.6,6.251,5.137,4.524,0.547
11:02:17,"2,197.80","3,250",-9.4,411,6.201,5.163,4.599,0.548
11:02:18,906,"3,250",-8.8,374.7,6.123,4.989,4.718,0.547
11:02:19,899.4,"1,978.90",-4.4,157.3,5.829,5.114,4.588,0.543
11:02:20,524.2,"1,336.40",-3.1,85.6,6.306,5.236,4.582,0.55
11:02:21,554.4,"1,505.10",-3.3,96.1,6.306,5.236,4.582,0.548
11:02:22,28,"3,250",-5.3,209.8,6.041,5.253,4.687,0.548
11:02:23,45.1,"1,713.20",-4.1,137.2,6.099,5.12,4.553,0.549
11:02:24,43.5,"1,814.60",-2.7,75.2,6.146,5.064,4.652,0.55
11:02:25,60.4,"2,459.30",-3.6,113.9,6.161,5.262,4.384,0.551
11:02:26,25,"2,844.90",-4.1,163.9,6.102,5.027,4.46,0.551
11:02:27,44.6,"2,670.60",-4.4,157.4,6.318,5.134,4.596,0.554
11:02:28,30.4,"1,193.90",-2.9,79,5.974,5.117,4.73,0.55
11:02:29,18.8,275.3,-1.9,28.8,6.129,5.073,4.585,0.553
11:02:30,15.3,200.3,-1.8,19.4,6.038,5.027,4.576,0.552
11:02:31,21.5,"-1,696.20",15.9,-733.5,6.224,5.242,3.902,0.555
